CUST_NAME,ECU_NAME,EVENT_ID,EVENT_NOTIFICATION_ID,EVENT_TYPE,FMI,FMT_TEXT,LATITUDE,LONGITUDE,MFG_RLSE_DATE,ODO_READING,SA,SPN,SPN_TEXT,TIME_STAMP,VIN_CD_DESC,VIN_NO,WITHIN_GEO_FENCE_LIMIT,Number of Records
RG_Corp12,J1939_160,17950562,18615680,2,19,Received Network Data In Error,45.5182459,-122.5789334,,20621,160,523,Transmission Current Gear,1/28/2014 10:55,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17984410,18651728,2,14,Special Instructions,44.1404004,-123.0530279,,34917,42,517503,Undocumented SPN: 517503,1/29/2014 4:39,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17984411,18651725,2,19,Received Network Data In Error,44.1400002,-123.0529576,,34917,42,5606,Adaptive Cruise Control Readiness Status,1/29/2014 4:39,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18005022,18674064,2,19,Received Network Data In Error,45.4863136,-122.6485963,,21139,160,523,Transmission Current Gear,1/29/2014 11:04,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18014253,18683804,2,19,Received Network Data In Error,0,0,,5261,42,908,"Relative Speed; Rear Axle #1, Right Wheel",1/29/2014 14:32,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18014513,18684075,2,19,Received Network Data In Error,45.5580291,-122.7015516,,5261,42,190,Engine Speed,1/29/2014 14:37,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,18014511,18684074,2,19,Received Network Data In Error,45.5580291,-122.7015516,,5261,42,512,Driver's Demand Engine - Percent Torque,1/29/2014 14:37,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,18014512,18684072,2,19,Received Network Data In Error,45.5580291,-122.7015516,,5261,42,513,Actual Engine - Percent Torque,1/29/2014 14:37,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,18026784,18697025,2,19,Received Network Data In Error,45.5597505,-122.702473,,15202,42,560,Transmission Driveline Engaged,1/29/2014 22:37,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_160,18035247,18706153,2,19,Received Network Data In Error,45.6577423,-123.1552877,,5570,160,5681,Undocumented SPN: 5681,1/30/2014 4:10,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18035248,18706152,2,19,Received Network Data In Error,45.6577423,-123.1552877,,5570,160,5682,Undocumented SPN: 5682,1/30/2014 4:10,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18035249,18706151,2,19,Received Network Data In Error,45.6577423,-123.1552877,,5570,160,5683,Undocumented SPN: 5683,1/30/2014 4:10,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18087579,18761287,2,14,Special Instructions,45.7896075,-123.4490174,,114166,42,517503,Undocumented SPN: 517503,1/31/2014 2:55,Cascadia 125” Sleepercab,FRCE403QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18087580,18761286,2,19,Received Network Data In Error,45.7898684,-123.4495032,,114166,42,5606,Adaptive Cruise Control Readiness Status,1/31/2014 2:55,Cascadia 125” Sleepercab,FRCE403QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18087327,18761009,2,14,Special Instructions,45.7738143,-123.4011926,,6253,42,517503,Undocumented SPN: 517503,1/31/2014 2:57,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18087328,18761008,2,19,Received Network Data In Error,45.7737481,-123.4008974,,6253,42,5606,Adaptive Cruise Control Readiness Status,1/31/2014 2:57,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18089043,18762859,2,19,Received Network Data In Error,45.625436,-122.7374,,15886,42,560,Transmission Driveline Engaged,1/31/2014 3:44,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18117279,18792246,2,19,Received Network Data In Error,45.7803889,-123.350173,,6606,160,5681,Undocumented SPN: 5681,1/31/2014 13:31,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18117280,18792245,2,19,Received Network Data In Error,45.7803889,-123.350173,,6606,160,5682,Undocumented SPN: 5682,1/31/2014 13:31,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18117281,18792247,2,19,Received Network Data In Error,45.7803889,-123.350173,,6606,160,5683,Undocumented SPN: 5683,1/31/2014 13:31,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18123339,18798483,2,19,Received Network Data In Error,45.5827234,-122.6666872,,21991,42,560,Transmission Driveline Engaged,1/31/2014 16:30,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18123340,18798484,2,19,Received Network Data In Error,45.5827234,-122.6666872,,21991,160,523,Transmission Current Gear,1/31/2014 16:30,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18135931,18811818,2,19,Received Network Data In Error,0,0,,16367,42,560,Transmission Driveline Engaged,2/1/2014 4:44,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18168176,18845676,2,19,Received Network Data In Error,45.5359937,-122.6740682,,16915,42,560,Transmission Driveline Engaged,2/2/2014 6:42,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18172904,18850711,2,19,Received Network Data In Error,45.5483889,-122.6616711,,22927,160,523,Transmission Current Gear,2/2/2014 9:35,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,18175644,18853587,2,19,Received Network Data In Error,45.5597632,-122.5784829,,22959,42,84,Wheel-Based Vehicle Speed,2/2/2014 11:13,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18181468,18859712,2,19,Received Network Data In Error,45.656493,-123.1529383,,7844,160,5681,Undocumented SPN: 5681,2/2/2014 15:02,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,18181469,18859713,2,19,Received Network Data In Error,45.656493,-123.1529383,,7844,160,5682,Undocumented SPN: 5682,2/2/2014 15:02,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
